company_name,business_description,similar_sentence,similarity_score
"HEALTHeUNIVERSE, Inc.","Healtheuniverse, Inc., a biotechnology development company, engages in the research, development, and commercialization of biopharmaceutical, biomedical, nutraceutical, and cosmeceutical products. The company develops stem cell and regenerative medicine therapies utilizing non-embryonic adult stem cells for use in plastic and reconstructive surgery, orthopedic surgery, vascular surgery, cardiac surgery, and wound care. It also provides consulting services to various businesses in the areas of marketing, business organization, and raising capital for business ventures. The company was founded in 2001 and is headquartered in Covina, California.","it also provides consulting services to various businesses in the areas of marketing, business organization, and raising capital for business ventures.",0.7528
MCX Technologies Corporation,"MCX Technologies Corporation provides digital transformation solutions to customer-centric organizations through integrated marketing, data science, and commerce in the United States. It offers professional and related consulting services, including brand strategy, pricing science, data science, digital transformation, customer experience management consulting, implementation, and go-to-market execution in support of these strategies. The company was formerly known as McorpCX, Inc. and changed its name to MCX Technologies Corporation in August 2020. MCX Technologies Corporation was incorporated in 2001 and is headquartered in Boise, Idaho.","it offers professional and related consulting services, including brand strategy, pricing science, data science, digital transformation, customer experience management consulting, implementation, and go-to-market execution in support of these strategies.",0.727
Crown Equity Holdings Inc.,"Crown Equity Holdings Inc. advertising branding, marketing solutions, and other services for customer awareness and merchant visibility worldwide. It offers internet media-driven advertising services that cover and connect a range of marketing specialties, as well as search engine optimization for clients in online media awareness. The company also provides various consulting services to companies and individuals dealing with corporate structure and operations; and public relations and news dissemination for publicly and privately held companies. It offers its services to companies seeking to become public entities. The company was formerly known as Micro Bio-Medical Waste Systems, Inc. and changed its name to Crown Equity Holdings Inc. in October 2006. Crown Equity Holdings Inc. was incorporated in 1995 and is based in Las Vegas, Nevada.",the company also provides various consulting services to companies and individuals dealing with corporate structure and operations; and public relations and news dissemination for publicly and privately held companies.,0.7178
"Day Tradexchange, Inc.","Day Tradexchange, Inc. operates as a consulting company for private and public companies in the United States. It focuses on acquiring controlling interests or participates in the creation of company projects. The company’s consulting services include reverse mergers and acquisitions, specific asset acquisitions, capital investment, debt investment, market development, transfer agent service advice, management and management placement, development and implementation of business models, information technology, and Internet marketplace and technology. It also assists companies in evaluating, structuring, and negotiating joint ventures, strategic alliances, joint marketing agreements, and other corporate transactions; and provides advice relating to corporate finance, financial reporting, and accounting operations. Day Tradexchange, Inc. was founded in 1999 and is based in Damascus, Maryland.","the company’s consulting services include reverse mergers and acquisitions, specific asset acquisitions, capital investment, debt investment, market development, transfer agent service advice, management and management placement, development and implementation of business models, information technology, and internet marketplace and technology.",0.716
ATIF Holdings Limited,"ATIF Holdings Limited operates as a business consulting company in Hong Kong, the United States, and Mexico. It offers financial consulting services to small and medium-sized enterprises (SMEs). The company primarily focuses on helping clients going public on the national stock exchanges and OTC markets in the United States. Its consulting services primarily include due diligence review, market research and feasibility study, business plan drafting, accounting record review, and business analysis and recommendations; reorganization, pre-listing education and tutoring, talent search, legal and audit firm recommendation and coordination, VIE contracts and other public-listing related documents review, merger and acquisition planning, investor referral and pre-listing equity financing source identification and recommendations, and independent directors and audit committee candidate’s recommendation. The company also offers shell company identification and recommendation for customers expecting to become publicly listed through reverse merger transaction; assistance in preparation of customers’ public filings for IPO or reverse merger transactions; and assistance in answering comments and questions received from regulatory agencies. In addition, it operates chinacnnm.com, a news and media website focuses on distributing financial news and information. ATIF Holdings Limited was incorporated in 2015 and is based in Lake Forest, California.","its consulting services primarily include due diligence review, market research and feasibility study, business plan drafting, accounting record review, and business analysis and recommendations; reorganization, pre-listing education and tutoring, talent search, legal and audit firm recommendation and coordination, vie contracts and other public-listing related documents review, merger and acquisition planning, investor referral and pre-listing equity financing source identification and recommendations, and independent directors and audit committee candidate’s recommendation.",0.7157
Arion Group Corp.,"Arion Group Corp. focuses on manufacturing and distribution activities in dietary ingredient and nutritional supplement industry in the United States. It provides consulting services to third parties for planning, design, and compliance of cannabis cultivation. Arion Group Corp. was incorporated in 2016 and is based in South El Monte, California.","it provides consulting services to third parties for planning, design, and compliance of cannabis cultivation.",0.7156
"Nexteligent Holdings, Inc.","Nexteligent Holdings, Inc. operates as an aggregator of healthcare professional services and technology firms. The company provides professional services in telemedicine, consulting, and financial management. Its Telemedicine Solutions division develops and manages remote care and technology programs aimed at containing costs, improving productivity, and enhancing the quality of medical encounters at healthcare institutions serving the eldercare sector, as well as municipalities and not-for-profit organizations. The company’s Financial Services division provides end-to-end revenue cycle management solutions and denials recovery for hospital systems, doctor groups, clinics, and long term care operators. This division also offers turnkey solutions for preventative care services, such as chronic care management, annual wellness visit, transitional care management, behavioral health, and remote telemonitoring. Nexteligent Holdings, Inc. is headquartered in Avon, Connecticut.","the company provides professional services in telemedicine, consulting, and financial management.",0.7089
"CRA International, Inc.","CRA International, Inc., together with its subsidiaries, provides economic, financial, and management consulting services worldwide. It advises clients on economic and financial matters pertaining to litigation and regulatory proceedings; and guides corporations through business strategy and performance-related issues. The company also offers consulting services, including research and analysis, expert testimony, and support in litigation and regulatory proceedings in the areas of finance, accounting, economics, insurance, and forensic accounting and investigations to corporate clients and attorneys. In addition, it offers management consulting services comprising strategy development, performance improvement, corporate strategy and portfolio analysis, estimation of market demand, environmental, social and corporate governance and sustainability strategy and analysis, design and implementation of auction and bidding, new product pricing strategies, survey and market research, valuation of intellectual property and other assets, assessment of competitors' actions, and analysis of new sources of supply. The company serves various industries, including communications and media; consumer, health, and wellness products; energy; entertainment and leisure; financial services; healthcare; life sciences; manufacturing and industries; natural resources; retail and distribution; technology; and transportation. CRA International, Inc. was incorporated in 1965 and is headquartered in Boston, Massachusetts.","the company also offers consulting services, including research and analysis, expert testimony, and support in litigation and regulatory proceedings in the areas of finance, accounting, economics, insurance, and forensic accounting and investigations to corporate clients and attorneys.",0.7031
Vivic Corp.,"Vivic Corp. engages in the distribution of yachts under the Monte Fino and VIVIC brands in Taiwan and internationally. It also provides tourism consultancy and yacht services. The company was incorporated in 2017 and is headquartered in Las Vegas, Nevada.",it also provides tourism consultancy and yacht services.,0.6961
Aimrite Holdings Corporation,"Aimrite Holdings Corporation provides management advisory and consulting services for small and medium size companies. Its services include operational services in corporate development; restructuring, finance, and strategic growth plans, as well as strategic consulting in business planning and sales strategy development; Website consulting and development; and social media development and deployment. The company was incorporated in 1988 and is based in Las Vegas, Nevada.","its services include operational services in corporate development; restructuring, finance, and strategic growth plans, as well as strategic consulting in business planning and sales strategy development; website consulting and development; and social media development and deployment.",0.6906
