company_name,business_description
8000 Inc,"8000 Inc. provides consultancy services to corporations principally in the United States. It also provides financial solutions and executive services to smaller companies. The company’s services include business expansion, fund raising, corporate structure, and marketing, as well as corporate actions for acquisition, merger, and progression. It serves public and private companies. 8000 Inc. was founded in 2007 and is based in Manassas, Virginia."
"Abby, Inc.","Abby, Inc. operates in the auto industry. The company, through its interest in The Evans Corporation, focuses on auto brokerage and sales business in California under the Evans Auto Brokerage & Sales name. It also focuses on providing catering and commissary needs for special events. The company was incorporated in 2000 and is based in Thousand Oaks, California."
Adsouth Partners Inc.,"Adsouth Partners Inc. is a vertically integrated direct response marketing company which provides placement of advertising, the production of advertisements, creative advertising, and public relations consulting services in the United States and Canada. The company provides various advertising services primarily comprising the placement of advertising in television, Internet, and print media outlets; the production of advertising content, including television commercials, print advertising, and other graphics design literature; and advertising and marketing consulting services. It also sells, installs, and services power generator systems to residential homeowners and commercial business throughout Florida. The company was formerly known as Adsouth, Inc. and changed its name to Adsouth Partners Inc. in January, 2004. The company was founded in 2003 and is based in Boca Raton, Florida. Adsouth Partners Inc. is a former subsidiary of Zenith Technology, Inc."
Advantage Solutions Inc.,"Advantage Solutions Inc. provides business solutions to consumer goods manufacturers and retailers in North America and internationally. It operates in two segments, Sales and Marketing. The Sales segment offers brand-centric services, such as headquarter relationship management; analytics, insights, and intelligence; and brand-centric merchandising services. This segment also provides retailer-centric services comprising retailer-centric merchandising and in-store media services. The Marketing segment offers brand-centric services, including shopper and consumer marketing, and brand experiential services; retailer-centric services, such as retail experiential and private label services; and digital marketing, and digital media and advertising services. The company was formerly known as Karman Holding Corp. and changed its name to Advantage Solutions Inc. in March 2016. The company was founded in 1987 and is headquartered in Clayton, Missouri."
Advantex Marketing International Inc.,"Advantex Marketing International Inc. operates as an aggregator of independent merchants in Canada. It operates through two segments: Merchant Cash Advance Program and Aeroplan Program. The company offers merchant cash advance services to meet the working capital needs of merchants; and loyalty marketing services to provide merchants with an economic way to market establishments through its re-seller relationship with Aeroplan loyalty program. It also provides the Aeroplan program that allows members to earn aeroplan points on purchases at merchants. In addition, the company merchant partners operate in various business segments, including restaurants; independent inns, resorts, and selected hotels; spas; retailers of men’s and ladies’ fashion, footwear, and accessories; florists and garden centers; health and beauty centers; gift stores; and home décor. Advantex Marketing International Inc. was incorporated in 1994 and is headquartered in Toronto, Canada."
"Aerius International, Inc.","Aerius International, Inc. provides consulting, design, construction, and financing services for marijuana operators in the United States. The company was founded in 2000 and is based in Las Vegas, Nevada."
"AI Unlimited Group, Inc.","AI Unlimited Group, Inc., a development stage company, operates as a fintech-driven consumer liabilities and debt management company. It offers Lever App, which allows its subscribers to analyze their existing student loans and recommend programs the United States Department of Education offers after the initial assessment and processes enrollments into these programs. The company was formerly known as Lever Global Corporation and changed its name to AI Unlimited Group, Inc. in July 2024. The company was incorporated in 2022 and is based in West Hollywood, California."
Aimrite Holdings Corporation,"Aimrite Holdings Corporation provides management advisory and consulting services for small and medium size companies. Its services include operational services in corporate development; restructuring, finance, and strategic growth plans, as well as strategic consulting in business planning and sales strategy development; Website consulting and development; and social media development and deployment. The company was incorporated in 1988 and is based in Las Vegas, Nevada."
"Alight, Inc.","Alight, Inc. provides cloud-based integrated digital human capital and business solutions worldwide. The company operates through two segments, Employer Solutions and Professional Services. The Employer Solutions segment offers employee wellbeing, integrated benefits administration, healthcare navigation, financial wellbeing, leave of absence management, retiree healthcare and payroll; and operates AI-led capabilities software. The Professional Services segment offers consulting offerings, such as cloud advisory, deployment, and optimization services for cloud platforms. The company provides Alight Worklife, an intuitive, cloud-based employee engagement platform. Its solutions enable employees to enrich their health, wealth, and wellbeing that helps organizations achieve a high-performance culture. Alight, Inc. was founded in 2020 and is based in Lincolnshire, Illinois."
"American Cannabis Company, Inc.","American Cannabis Company, Inc., together with its subsidiary, Hollister & Blacksmith, Inc., provides solutions for businesses operating in the regulated cannabis industry in the United States and Canada. The company offers consulting services for companies associated with the cannabis industry in various stages of development, such as cannabis business planning, license applications, growth strategies, and monitoring, as well as cultivation build-out oversight, cannabis regulatory compliance, and compliance audit services. It also sells products and equipment used in the cultivation, processing, transportation, or retail sale of cannabis, such as The Satchel, a pouch-like case designed as a child-proof exit package solution for the regulated cannabis industry; SoHum Living Soil, a just-add-water soil; High Density Cultivation System, which ensures that space is used in an efficient manner; The Cultivation Cube, a self-contained and scalable cultivation system; and other products for cultivation operations, medicinal and recreational cannabis dispensary operations, and infused-products. In addition, the company offers advisory and consulting services specific to design industry-specific products and facilities; and manages a strategic group partnership that offers customer products commonly used in the industry. American Cannabis Company, Inc. was founded in 2001 and is headquartered in Colorado Springs, Colorado."
